price,bed,bath,sqft,acre_sqft_lot,address
"$394,000",3bed,2bath,"1,322sqft","6,212sqft lot","617 Smithwood Dr, Oakdale, CA 95361"
"$1,729,000",4bed,3bath,"3,088sqft",0.42acre lot,"157 Andre Dr, Arroyo Grande, CA 93420"
"$549,900",3bed,1.5bath,"1,327sqft",0.29acre lot,"3574 Myers St, Riverside, CA 92503"
"$399,000",2bed,2bath,"1,066sqft",4.44acre lot,"43334 32nd St W Unit 18, Lancaster, CA 93536"
"$859,000",3bed,2.5bath,"1,948sqft","6,539sqft lot","45 Deer Creek Rd, Phillips Ranch, CA 91766"
"$848,888",3bed,2bath,"1,578sqft","2,369sqft lot","2377 Sommerset Dr, Brea, CA 92821"
"$525,000",3bed,2bath,"1,336sqft","7,841sqft lot","68310 Tortuga Rd, Cathedral City, CA 92234"
"$399,000",2bed,2bath,"1,022sqft","7,405sqft lot","29622 Buena Tierra, Menifee, CA 92586"
"$625,000",3bed,2.5bath,"1,569sqft","1,731sqft lot","8745 Celebration St, Chino, CA 91708"
"$585,000",2bed,1bath,964sqft,964sqft lot,"4547 Glenn St, Fremont, CA 94536"
"$464,900",2bed,2bath,970sqft,0.3acre lot,"14803 Vanowen St Apt 10, Van Nuys, CA 91405"
"$449,000",2bed,1bath,780sqft,0.25acre lot,"9858 Mission Greens Ct Unit 1, Santee, CA 92071"
"$389,000",3bed,2bath,"1,920sqft",0.28acre lot,"24560 Ridge Rd, Willits, CA 95490"
"$265,000",2bed,1bath,"1,344sqft",2.2acre lot,"1180 Dogwood Dr, Arnold, CA 95223"
"$1,300,000",3bed,2.5bath,"2,862sqft",1.12acre lot,"902 Mercey Springs Rd, Los Banos, CA 93635"
"$1,325,000",3bed,2.5bath,"2,362sqft",2.53acre lot,"145 Baker Ranch Rd, Trinidad, CA 95570"
"$240,000",2bed,2bath,"1,344sqft","8,276sqft lot","2828 Yukon Way, Pine Mountain Club, CA 93222"
"$29,995,000",7bed,9.5+bath,"10,853sqft",1.39acre lot,"1575 Capri Dr, Pacific Palisades, CA 90272"
"$199,000",2bed,1bath,"1,250sqft",34.57acre lot,"1824 Sycamore Dr, Isleton, CA 95641"
"$395,000",3bed,2bath,"2,680sqft",2acre lot,"3400 and 3430 Humbug Rd, Canyondam, CA 96020"
"$150,000",4bed,2.5bath,"1,920sqft",0.24acre lot,"3539 Santa Clara Trl, Frazier Park, CA 93225"
"$278,000",3bed,2bath,"1,755sqft","4,600sqft lot","13691 Gavina Ave Unit 352, Sylmar, CA 91342"
"$2,875,000",5bed,4.5bath,"5,500sqft",11.62acre lot,"885 W San Martin Ave, San Martin, CA 95046"
"$444,000",3bed,3bath,"2,120sqft",0.62acre lot,"13228 Thistle Loop, Penn Valley, CA 95946"
"$89,000$10k",3bed,2bath,"1,368sqft",1.26acre lot,"4166 Crocker St, Weldon, CA 93283"
"$599,000",3bed,2bath,"2,445sqft",3.24acre lot,"13260 Padani Dr, Redding, CA 96003"
"$90,000",2bed,1bath,"1,296sqft",2.5acre lot,"11901 Roundup Ln, Tehachapi, CA 93561"
"$250,000",2bed,2bath,"1,620sqft","4,356sqft lot","2681 Cameron Park Dr Spc 156, Cameron Park, CA 95682"
"$340,000",3bed,3bath,"1,637sqft","7,667sqft lot","1234 Samra Ave, Lancaster, CA 93535"
"$15,500",3bed,2bath,"1,000sqft",1acre lot,"2100 Soapmine Rd, Barstow, CA 92311"
"$259,999$15k",3bed,2bath,"1,829sqft","3,655sqft lot","14838 Hidden Rock Dr, Grass Valley, CA 95949"
"$370,000",2bed,2bath,"1,316sqft","9,494sqft lot","347 Quail Smt, Paso Robles, CA 93446"
"$285,000",3bed,3bath,"1,379sqft",80acre lot,"1245 Iron Gate Rd, Weitchpec, CA 95546"
"$625,000",3bed,2.5bath,"1,902sqft","8,316sqft lot","200 Scrub Oak Ct, Roseville, CA 95747"
"$16,995,000$1M",8bed,8.5+bath,"12,800sqft",0.64acre lot,"22 Oakmont Dr, Los Angeles, CA 90049"
"$274,000$25k",2bed,1.5bath,"1,200sqft",1acre lot,"14429 Penn Rd, Grass Valley, CA 95949"
"$425,000",3bed,2bath,"1,592sqft",8.14acre lot,"4972 Hackomiller Rd, Garden Valley, CA 95633"
"$125,000",1bed,1bath,650sqft,"8,943sqft lot","5857 Huron Ave, Clearlake, CA 95422"
"$349,950",3bed,2.5bath,"1,760sqft","5,014sqft lot","3933 Encino Trl, Frazier Park, CA 93225"
"$295,000",3bed,1bath,"1,140sqft","6,761sqft lot","1716 Connie Way, Modesto, CA 95354"
"$415,000",4bed,3bath,"2,214sqft","6,000sqft lot","13615 Princeton Dr, Victorville, CA 92392"
"$345,000",3bed,2bath,"1,218sqft",0.56acre lot,"2222 Berkesey Dr, Valley Springs, CA 95252"
"$309,900",2bed,1bath,"1,073sqft",1.76acre lot,"12501 Iona Ave, Hanford, CA 93230"
"$389,900",3bed,2.5bath,"2,195sqft","6,950sqft lot","524 Maurer St N, Porterville, CA 93257"
"$529,900",4bed,2.5bath,"1,918sqft","3,920sqft lot","416 E Jarvis St, Perris, CA 92571"
"$425,000",4bed,2bath,"2,075sqft",0.23acre lot,"13987 Luna Rd, Victorville, CA 92392"
"$560,000",4bed,2.5bath,"2,035sqft",0.62acre lot,"7997 Mono Dr, Hesperia, CA 92345"
"$499,000",3bed,3bath,"1,660sqft","7,405sqft lot","2285 Home Dr, Cutten, CA 95503"
"$445,000",4bed,3bath,"2,200sqft",0.28acre lot,"387 Sonora Ave, Sonora, CA 95370"
"$1,999,000",4bed,4.5bath,"4,842sqft",0.33acre lot,"10565 N Old Course Dr, Fresno, CA 93730"
"$429,000",3bed,2bath,"1,640sqft","9,583sqft lot","7241 Raintree Dr, Citrus Heights, CA 95621"
"$479,900",4bed,2bath,"1,708sqft","7,200sqft lot","2884 Colima Ave, San Bernardino, CA 92407"
"$399,000",3bed,2bath,"1,376sqft","5,201sqft lot","1403 Laguna Cir, Stockton, CA 95206"
"$519,000",2bed,2bath,930sqft,3.75acre lot,"28759 Conejo View Dr, Agoura Hills, CA 91301"
"$419,000",2bed,1bath,859sqft,"8,167sqft lot","110 Nestles Rd, Soledad, CA 93960"
"$1,799,000",4bed,4bath,"3,415sqft",2.51acre lot,"4397 Edinburg Ct, Fairfield, CA 94534"
"$475,000",2bed,2.5bath,"1,324sqft","2,056sqft lot","3678 E Commerce Way, Sacramento, CA 95834"
"$539,000",3bed,2bath,"1,482sqft","7,518sqft lot","5326 Brandon Dr, Rocklin, CA 95765"
"$950,000",4bed,3bath,"1,839sqft","4,256sqft lot","24314 Taranto Ave, Valencia, CA 91355"
"$344,990",3bed,2.5bath,"1,227sqft","2,035sqft lot","6413 E Moscato Dr, Fresno, CA 93727"
"$588,900",3bed,2.5bath,"1,960sqft","4,064sqft lot","1080 St Olaf Ct, Dixon, CA 95620"
"$632,000",4bed,3bath,"2,265sqft","5,218sqft lot","2656 Maybrook Dr, Sacramento, CA 95835"
"$1,350,000",4bed,3bath,"2,540sqft","9,040sqft lot","9221 Golondrina Dr, La Mesa, CA 91941"
"$929,000",3bed,2bath,"1,748sqft","7,762sqft lot","23807 Archwood St, West Hills, CA 91307"
"$900,000",4bed,2bath,"1,336sqft","9,222sqft lot","4540 Cloverly Ave, Temple City, CA 91780"
"$459,000",2bed,1bath,915sqft,"1,280sqft lot","1240 Kenwal Dr, Concord, CA 94521"
"$1,495,000",4bed,3.5bath,"3,318sqft","8,568sqft lot","25311 Pike Rd, Laguna Hills, CA 92653"
"$1,100,000",5bed,3bath,"3,823sqft","8,712sqft lot","45831 Cebalo St, Temecula, CA 92592"
"$639,000",1bed,1bath,592sqft,22.96acre lot,"1000 N Point St Apt 207, San Francisco, CA 94109"
"$1,249,000",4bed,3bath,"2,052sqft","6,499sqft lot","3731 E 4th St, Long Beach, CA 90814"
"$542,990",4bed,2bath,"1,724sqft","8,102sqft lot","921 Barnby Ln, Patterson, CA 95363"
"$989,990",5bed,4.5bath,"3,607sqft","9,361sqft lot","1712 Wadsworth Cir, Roseville, CA 95747"
"$120,000",2bed,1bath,"1,200sqft",0.29acre lot,"322 Central St, Orland, CA 95963"
"$264,990",3bed,2bath,"1,656sqft",0.24acre lot,"21648 95th St, California City, CA 93505"
"$399,000",3bed,2.5bath,"1,845sqft",0.52acre lot,"16525 Big Bear Rd, Lower Lake, CA 95457"
"$349,900",3bed,2bath,"1,568sqft","6,970sqft lot","61 Olivia Ln, Big Pine, CA 93513"
"$429,000",4bed,3bath,"2,750sqft",0.4acre lot,"600 Joaquin Ave, Redding, CA 96002"
"$518,000",4bed,2bath,"2,342sqft",1.75acre lot,"4931 Del Rosa Rd, Phelan, CA 92371"
"$165,000",2bed,1bath,930sqft,"6,969sqft lot","1570 Royal St, Arvin, CA 93203"
